date,entry_ts,exit_ts,entry,exit,pnl,result,mfe,mae,tp,sl,wait_bars,pullback_pts,be_trigger,min_or_range,mbp_confirmed
2026-02-02,2026-02-02 08:31:00,2026-02-02 08:32:00,25618.5,25638.5,20.0,WIN,50.25,0.0,20,20,5,5,12,60,false
2026-02-04,2026-02-04 09:10:00,2026-02-04 09:11:00,25234.0,25234.0,0.0,BE,26.5,-31.5,20,20,5,5,12,60,false
2026-02-05,2026-02-05 08:35:00,2026-02-05 08:36:00,24808.0,24788.0,-20.0,LOSS,4.75,-32.0,20,20,5,5,12,60,false
2026-02-13,2026-02-13 08:31:00,2026-02-13 08:32:00,24738.5,24738.5,0.0,BE,56.5,-23.75,20,20,5,5,12,60,false
2026-02-17,2026-02-17 08:32:00,2026-02-17 08:33:00,24695.25,24695.25,0.0,BE,17.75,-29.75,20,20,5,5,12,60,false
2026-02-20,2026-02-20 08:33:00,2026-02-20 08:34:00,24775.5,24795.5,20.0,WIN,39.0,0.0,20,20,5,5,12,60,false
2026-02-27,2026-02-27 08:34:00,2026-02-27 08:36:00,24875.75,24855.75,-20.0,LOSS,11.75,-24.75,20,20,5,5,12,60,false
2026-03-02,2026-03-02 08:34:00,2026-03-02 08:35:00,24782.75,24802.75,20.0,WIN,66.25,0.0,20,20,5,5,12,60,false
2026-03-03,2026-03-03 08:31:00,2026-03-03 08:32:00,24605.5,24585.5,-20.0,LOSS,2.25,-37.5,20,20,5,5,12,60,false
2026-03-06,2026-03-06 09:14:00,2026-03-06 09:15:00,24783.25,24783.25,0.0,BE,14.25,-10.25,20,20,5,5,12,60,false
2026-03-09,2026-03-09 09:14:00,2026-03-09 09:15:00,24599.0,24619.0,20.0,WIN,22.5,0.0,20,20,5,5,12,60,false
2026-03-13,2026-03-13 09:11:00,2026-03-13 09:12:00,24522.0,24542.0,20.0,WIN,37.25,0.0,20,20,5,5,12,60,false
2026-03-19,2026-03-19 09:07:00,2026-03-19 09:08:00,24569.75,24549.75,-20.0,LOSS,0.0,-46.25,20,20,5,5,12,60,false
2026-03-24,2026-03-24 08:54:00,2026-03-24 08:55:00,24308.0,24288.0,-20.0,LOSS,3.25,-40.75,20,20,5,5,12,60,false
2026-04-02,2026-04-02 08:37:00,2026-04-02 08:38:00,24182.25,24182.25,0.0,BE,49.0,-35.0,20,20,5,5,12,60,false
2026-04-07,2026-04-07 10:34:00,2026-04-07 10:36:00,24198.5,24198.5,0.0,BE,13.5,-7.0,20,20,5,5,12,60,false
2026-04-20,2026-04-20 08:39:00,2026-04-20 08:40:00,26732.0,26712.0,-20.0,LOSS,0.0,-21.0,20,20,5,5,12,60,false
2026-02-27,2026-02-27 08:59:00,2026-02-27 09:00:00,24877.0,24877.0,0.0,BE,27.0,-10.5,20,20,5,5,12,60,true
2026-02-02,2026-02-02 08:31:00,2026-02-02 08:32:00,25618.5,25638.5,20.0,WIN,50.25,0.0,20,20,5,5,12,70,false
2026-02-04,2026-02-04 09:10:00,2026-02-04 09:11:00,25234.0,25234.0,0.0,BE,26.5,-31.5,20,20,5,5,12,70,false
2026-02-05,2026-02-05 08:35:00,2026-02-05 08:36:00,24808.0,24788.0,-20.0,LOSS,4.75,-32.0,20,20,5,5,12,70,false
2026-02-13,2026-02-13 08:31:00,2026-02-13 08:32:00,24738.5,24738.5,0.0,BE,56.5,-23.75,20,20,5,5,12,70,false
2026-02-17,2026-02-17 08:32:00,2026-02-17 08:33:00,24695.25,24695.25,0.0,BE,17.75,-29.75,20,20,5,5,12,70,false
2026-02-20,2026-02-20 08:33:00,2026-02-20 08:34:00,24775.5,24795.5,20.0,WIN,39.0,0.0,20,20,5,5,12,70,false
2026-02-27,2026-02-27 08:34:00,2026-02-27 08:36:00,24875.75,24855.75,-20.0,LOSS,11.75,-24.75,20,20,5,5,12,70,false
2026-03-02,2026-03-02 08:34:00,2026-03-02 08:35:00,24782.75,24802.75,20.0,WIN,66.25,0.0,20,20,5,5,12,70,false
2026-03-03,2026-03-03 08:31:00,2026-03-03 08:32:00,24605.5,24585.5,-20.0,LOSS,2.25,-37.5,20,20,5,5,12,70,false
2026-03-06,2026-03-06 09:14:00,2026-03-06 09:15:00,24783.25,24783.25,0.0,BE,14.25,-10.25,20,20,5,5,12,70,false
2026-03-09,2026-03-09 09:14:00,2026-03-09 09:15:00,24599.0,24619.0,20.0,WIN,22.5,0.0,20,20,5,5,12,70,false
2026-03-13,2026-03-13 09:11:00,2026-03-13 09:12:00,24522.0,24542.0,20.0,WIN,37.25,0.0,20,20,5,5,12,70,false
2026-03-19,2026-03-19 09:07:00,2026-03-19 09:08:00,24569.75,24549.75,-20.0,LOSS,0.0,-46.25,20,20,5,5,12,70,false
2026-03-24,2026-03-24 08:54:00,2026-03-24 08:55:00,24308.0,24288.0,-20.0,LOSS,3.25,-40.75,20,20,5,5,12,70,false
2026-04-02,2026-04-02 08:37:00,2026-04-02 08:38:00,24182.25,24182.25,0.0,BE,49.0,-35.0,20,20,5,5,12,70,false
2026-04-07,2026-04-07 10:34:00,2026-04-07 10:36:00,24198.5,24198.5,0.0,BE,13.5,-7.0,20,20,5,5,12,70,false
2026-04-20,2026-04-20 08:39:00,2026-04-20 08:40:00,26732.0,26712.0,-20.0,LOSS,0.0,-21.0,20,20,5,5,12,70,false
2026-02-27,2026-02-27 08:59:00,2026-02-27 09:00:00,24877.0,24877.0,0.0,BE,27.0,-10.5,20,20,5,5,12,70,true
2026-02-02,2026-02-02 08:31:00,2026-02-02 08:32:00,25618.5,25638.5,20.0,WIN,50.25,0.0,20,20,5,5,15,40,false
2026-02-04,2026-02-04 09:10:00,2026-02-04 09:11:00,25234.0,25234.0,0.0,BE,26.5,-31.5,20,20,5,5,15,40,false
2026-02-05,2026-02-05 08:35:00,2026-02-05 08:36:00,24808.0,24788.0,-20.0,LOSS,4.75,-32.0,20,20,5,5,15,40,false
2026-02-13,2026-02-13 08:31:00,2026-02-13 08:32:00,24738.5,24738.5,0.0,BE,56.5,-23.75,20,20,5,5,15,40,false
2026-02-17,2026-02-17 08:32:00,2026-02-17 08:33:00,24695.25,24695.25,0.0,BE,17.75,-29.75,20,20,5,5,15,40,false
2026-02-20,2026-02-20 08:33:00,2026-02-20 08:34:00,24775.5,24795.5,20.0,WIN,39.0,0.0,20,20,5,5,15,40,false
2026-02-27,2026-02-27 08:34:00,2026-02-27 08:36:00,24875.75,24855.75,-20.0,LOSS,11.75,-24.75,20,20,5,5,15,40,false
2026-03-02,2026-03-02 08:34:00,2026-03-02 08:35:00,24782.75,24802.75,20.0,WIN,66.25,0.0,20,20,5,5,15,40,false
2026-03-03,2026-03-03 08:31:00,2026-03-03 08:32:00,24605.5,24585.5,-20.0,LOSS,2.25,-37.5,20,20,5,5,15,40,false
2026-03-06,2026-03-06 09:14:00,2026-03-06 09:16:00,24783.25,24783.25,0.0,BE,16.5,-19.25,20,20,5,5,15,40,false
2026-03-09,2026-03-09 09:14:00,2026-03-09 09:15:00,24599.0,24619.0,20.0,WIN,22.5,0.0,20,20,5,5,15,40,false
2026-03-13,2026-03-13 09:11:00,2026-03-13 09:12:00,24522.0,24542.0,20.0,WIN,37.25,0.0,20,20,5,5,15,40,false
2026-03-19,2026-03-19 09:07:00,2026-03-19 09:08:00,24569.75,24549.75,-20.0,LOSS,0.0,-46.25,20,20,5,5,15,40,false
2026-03-24,2026-03-24 08:54:00,2026-03-24 08:55:00,24308.0,24288.0,-20.0,LOSS,3.25,-40.75,20,20,5,5,15,40,false
2026-04-02,2026-04-02 08:37:00,2026-04-02 08:38:00,24182.25,24182.25,0.0,BE,49.0,-35.0,20,20,5,5,15,40,false
2026-04-07,2026-04-07 10:34:00,2026-04-07 10:39:00,24198.5,24178.5,-20.0,LOSS,13.5,-23.25,20,20,5,5,15,40,false
2026-04-20,2026-04-20 08:39:00,2026-04-20 08:40:00,26732.0,26712.0,-20.0,LOSS,0.0,-21.0,20,20,5,5,15,40,false
2026-02-27,2026-02-27 08:59:00,2026-02-27 09:00:00,24877.0,24877.0,0.0,BE,27.0,-10.5,20,20,5,5,15,40,true
2026-02-02,2026-02-02 08:31:00,2026-02-02 08:32:00,25618.5,25638.5,20.0,WIN,50.25,0.0,20,20,5,5,15,50,false
2026-02-04,2026-02-04 09:10:00,2026-02-04 09:11:00,25234.0,25234.0,0.0,BE,26.5,-31.5,20,20,5,5,15,50,false
2026-02-05,2026-02-05 08:35:00,2026-02-05 08:36:00,24808.0,24788.0,-20.0,LOSS,4.75,-32.0,20,20,5,5,15,50,false
2026-02-13,2026-02-13 08:31:00,2026-02-13 08:32:00,24738.5,24738.5,0.0,BE,56.5,-23.75,20,20,5,5,15,50,false
2026-02-17,2026-02-17 08:32:00,2026-02-17 08:33:00,24695.25,24695.25,0.0,BE,17.75,-29.75,20,20,5,5,15,50,false
2026-02-20,2026-02-20 08:33:00,2026-02-20 08:34:00,24775.5,24795.5,20.0,WIN,39.0,0.0,20,20,5,5,15,50,false
2026-02-27,2026-02-27 08:34:00,2026-02-27 08:36:00,24875.75,24855.75,-20.0,LOSS,11.75,-24.75,20,20,5,5,15,50,false
2026-03-02,2026-03-02 08:34:00,2026-03-02 08:35:00,24782.75,24802.75,20.0,WIN,66.25,0.0,20,20,5,5,15,50,false
2026-03-03,2026-03-03 08:31:00,2026-03-03 08:32:00,24605.5,24585.5,-20.0,LOSS,2.25,-37.5,20,20,5,5,15,50,false
2026-03-06,2026-03-06 09:14:00,2026-03-06 09:16:00,24783.25,24783.25,0.0,BE,16.5,-19.25,20,20,5,5,15,50,false
2026-03-09,2026-03-09 09:14:00,2026-03-09 09:15:00,24599.0,24619.0,20.0,WIN,22.5,0.0,20,20,5,5,15,50,false
2026-03-13,2026-03-13 09:11:00,2026-03-13 09:12:00,24522.0,24542.0,20.0,WIN,37.25,0.0,20,20,5,5,15,50,false
2026-03-19,2026-03-19 09:07:00,2026-03-19 09:08:00,24569.75,24549.75,-20.0,LOSS,0.0,-46.25,20,20,5,5,15,50,false
2026-03-24,2026-03-24 08:54:00,2026-03-24 08:55:00,24308.0,24288.0,-20.0,LOSS,3.25,-40.75,20,20,5,5,15,50,false
2026-04-02,2026-04-02 08:37:00,2026-04-02 08:38:00,24182.25,24182.25,0.0,BE,49.0,-35.0,20,20,5,5,15,50,false
2026-04-07,2026-04-07 10:34:00,2026-04-07 10:39:00,24198.5,24178.5,-20.0,LOSS,13.5,-23.25,20,20,5,5,15,50,false
2026-04-20,2026-04-20 08:39:00,2026-04-20 08:40:00,26732.0,26712.0,-20.0,LOSS,0.0,-21.0,20,20,5,5,15,50,false
2026-02-27,2026-02-27 08:59:00,2026-02-27 09:00:00,24877.0,24877.0,0.0,BE,27.0,-10.5,20,20,5,5,15,50,true
2026-02-02,2026-02-02 08:31:00,2026-02-02 08:32:00,25618.5,25638.5,20.0,WIN,50.25,0.0,20,20,5,5,15,60,false
2026-02-04,2026-02-04 09:10:00,2026-02-04 09:11:00,25234.0,25234.0,0.0,BE,26.5,-31.5,20,20,5,5,15,60,false
2026-02-05,2026-02-05 08:35:00,2026-02-05 08:36:00,24808.0,24788.0,-20.0,LOSS,4.75,-32.0,20,20,5,5,15,60,false
2026-02-13,2026-02-13 08:31:00,2026-02-13 08:32:00,24738.5,24738.5,0.0,BE,56.5,-23.75,20,20,5,5,15,60,false
2026-02-17,2026-02-17 08:32:00,2026-02-17 08:33:00,24695.25,24695.25,0.0,BE,17.75,-29.75,20,20,5,5,15,60,false
2026-02-20,2026-02-20 08:33:00,2026-02-20 08:34:00,24775.5,24795.5,20.0,WIN,39.0,0.0,20,20,5,5,15,60,false
2026-02-27,2026-02-27 08:34:00,2026-02-27 08:36:00,24875.75,24855.75,-20.0,LOSS,11.75,-24.75,20,20,5,5,15,60,false
2026-03-02,2026-03-02 08:34:00,2026-03-02 08:35:00,24782.75,24802.75,20.0,WIN,66.25,0.0,20,20,5,5,15,60,false
2026-03-03,2026-03-03 08:31:00,2026-03-03 08:32:00,24605.5,24585.5,-20.0,LOSS,2.25,-37.5,20,20,5,5,15,60,false
2026-03-06,2026-03-06 09:14:00,2026-03-06 09:16:00,24783.25,24783.25,0.0,BE,16.5,-19.25,20,20,5,5,15,60,false
2026-03-09,2026-03-09 09:14:00,2026-03-09 09:15:00,24599.0,24619.0,20.0,WIN,22.5,0.0,20,20,5,5,15,60,false
2026-03-13,2026-03-13 09:11:00,2026-03-13 09:12:00,24522.0,24542.0,20.0,WIN,37.25,0.0,20,20,5,5,15,60,false
2026-03-19,2026-03-19 09:07:00,2026-03-19 09:08:00,24569.75,24549.75,-20.0,LOSS,0.0,-46.25,20,20,5,5,15,60,false
2026-03-24,2026-03-24 08:54:00,2026-03-24 08:55:00,24308.0,24288.0,-20.0,LOSS,3.25,-40.75,20,20,5,5,15,60,false
2026-04-02,2026-04-02 08:37:00,2026-04-02 08:38:00,24182.25,24182.25,0.0,BE,49.0,-35.0,20,20,5,5,15,60,false
2026-04-07,2026-04-07 10:34:00,2026-04-07 10:39:00,24198.5,24178.5,-20.0,LOSS,13.5,-23.25,20,20,5,5,15,60,false
2026-04-20,2026-04-20 08:39:00,2026-04-20 08:40:00,26732.0,26712.0,-20.0,LOSS,0.0,-21.0,20,20,5,5,15,60,false
2026-02-27,2026-02-27 08:59:00,2026-02-27 09:00:00,24877.0,24877.0,0.0,BE,27.0,-10.5,20,20,5,5,15,60,true
2026-02-02,2026-02-02 08:31:00,2026-02-02 08:32:00,25618.5,25638.5,20.0,WIN,50.25,0.0,20,20,5,5,15,70,false
2026-02-04,2026-02-04 09:10:00,2026-02-04 09:11:00,25234.0,25234.0,0.0,BE,26.5,-31.5,20,20,5,5,15,70,false
2026-02-05,2026-02-05 08:35:00,2026-02-05 08:36:00,24808.0,24788.0,-20.0,LOSS,4.75,-32.0,20,20,5,5,15,70,false
2026-02-13,2026-02-13 08:31:00,2026-02-13 08:32:00,24738.5,24738.5,0.0,BE,56.5,-23.75,20,20,5,5,15,70,false
2026-02-17,2026-02-17 08:32:00,2026-02-17 08:33:00,24695.25,24695.25,0.0,BE,17.75,-29.75,20,20,5,5,15,70,false
2026-02-20,2026-02-20 08:33:00,2026-02-20 08:34:00,24775.5,24795.5,20.0,WIN,39.0,0.0,20,20,5,5,15,70,false
2026-02-27,2026-02-27 08:34:00,2026-02-27 08:36:00,24875.75,24855.75,-20.0,LOSS,11.75,-24.75,20,20,5,5,15,70,false
2026-03-02,2026-03-02 08:34:00,2026-03-02 08:35:00,24782.75,24802.75,20.0,WIN,66.25,0.0,20,20,5,5,15,70,false
2026-03-03,2026-03-03 08:31:00,2026-03-03 08:32:00,24605.5,24585.5,-20.0,LOSS,2.25,-37.5,20,20,5,5,15,70,false
2026-03-06,2026-03-06 09:14:00,2026-03-06 09:16:00,24783.25,24783.25,0.0,BE,16.5,-19.25,20,20,5,5,15,70,false
2026-03-09,2026-03-09 09:14:00,2026-03-09 09:15:00,24599.0,24619.0,20.0,WIN,22.5,0.0,20,20,5,5,15,70,false
2026-03-13,2026-03-13 09:11:00,2026-03-13 09:12:00,24522.0,24542.0,20.0,WIN,37.25,0.0,20,20,5,5,15,70,false
2026-03-19,2026-03-19 09:07:00,2026-03-19 09:08:00,24569.75,24549.75,-20.0,LOSS,0.0,-46.25,20,20,5,5,15,70,false
2026-03-24,2026-03-24 08:54:00,2026-03-24 08:55:00,24308.0,24288.0,-20.0,LOSS,3.25,-40.75,20,20,5,5,15,70,false
2026-04-02,2026-04-02 08:37:00,2026-04-02 08:38:00,24182.25,24182.25,0.0,BE,49.0,-35.0,20,20,5,5,15,70,false
2026-04-07,2026-04-07 10:34:00,2026-04-07 10:39:00,24198.5,24178.5,-20.0,LOSS,13.5,-23.25,20,20,5,5,15,70,false
2026-04-20,2026-04-20 08:39:00,2026-04-20 08:40:00,26732.0,26712.0,-20.0,LOSS,0.0,-21.0,20,20,5,5,15,70,false
2026-02-27,2026-02-27 08:59:00,2026-02-27 09:00:00,24877.0,24877.0,0.0,BE,27.0,-10.5,20,20,5,5,15,70,true
2026-02-02,2026-02-02 08:31:00,2026-02-02 08:32:00,25618.5,25638.5,20.0,WIN,50.25,0.0,20,20,5,5,20,40,false
2026-02-04,2026-02-04 09:10:00,2026-02-04 09:11:00,25234.0,25234.0,0.0,BE,26.5,-31.5,20,20,5,5,20,40,false
2026-02-05,2026-02-05 08:35:00,2026-02-05 08:36:00,24808.0,24788.0,-20.0,LOSS,4.75,-32.0,20,20,5,5,20,40,false
2026-02-13,2026-02-13 08:31:00,2026-02-13 08:32:00,24738.5,24738.5,0.0,BE,56.5,-23.75,20,20,5,5,20,40,false
2026-02-17,2026-02-17 08:32:00,2026-02-17 08:33:00,24695.25,24675.25,-20.0,LOSS,17.75,-29.75,20,20,5,5,20,40,false
2026-02-20,2026-02-20 08:33:00,2026-02-20 08:34:00,24775.5,24795.5,20.0,WIN,39.0,0.0,20,20,5,5,20,40,false
2026-02-27,2026-02-27 08:34:00,2026-02-27 08:36:00,24875.75,24855.75,-20.0,LOSS,11.75,-24.75,20,20,5,5,20,40,false
2026-03-02,2026-03-02 08:34:00,2026-03-02 08:35:00,24782.75,24802.75,20.0,WIN,66.25,0.0,20,20,5,5,20,40,false
2026-03-03,2026-03-03 08:31:00,2026-03-03 08:32:00,24605.5,24585.5,-20.0,LOSS,2.25,-37.5,20,20,5,5,20,40,false
2026-03-06,2026-03-06 09:14:00,2026-03-06 09:17:00,24783.25,24763.25,-20.0,LOSS,16.5,-23.75,20,20,5,5,20,40,false
2026-03-09,2026-03-09 09:14:00,2026-03-09 09:15:00,24599.0,24619.0,20.0,WIN,22.5,0.0,20,20,5,5,20,40,false
2026-03-13,2026-03-13 09:11:00,2026-03-13 09:12:00,24522.0,24542.0,20.0,WIN,37.25,0.0,20,20,5,5,20,40,false
2026-03-19,2026-03-19 09:07:00,2026-03-19 09:08:00,24569.75,24549.75,-20.0,LOSS,0.0,-46.25,20,20,5,5,20,40,false
2026-03-24,2026-03-24 08:54:00,2026-03-24 08:55:00,24308.0,24288.0,-20.0,LOSS,3.25,-40.75,20,20,5,5,20,40,false
2026-04-02,2026-04-02 08:37:00,2026-04-02 08:38:00,24182.25,24182.25,0.0,BE,49.0,-35.0,20,20,5,5,20,40,false
2026-04-07,2026-04-07 10:34:00,2026-04-07 10:39:00,24198.5,24178.5,-20.0,LOSS,13.5,-23.25,20,20,5,5,20,40,false
2026-04-20,2026-04-20 08:39:00,2026-04-20 08:40:00,26732.0,26712.0,-20.0,LOSS,0.0,-21.0,20,20,5,5,20,40,false
2026-02-27,2026-02-27 08:59:00,2026-02-27 09:00:00,24877.0,24877.0,0.0,BE,27.0,-10.5,20,20,5,5,20,40,true
2026-02-02,2026-02-02 08:31:00,2026-02-02 08:32:00,25618.5,25638.5,20.0,WIN,50.25,0.0,20,20,5,5,20,50,false
2026-02-04,2026-02-04 09:10:00,2026-02-04 09:11:00,25234.0,25234.0,0.0,BE,26.5,-31.5,20,20,5,5,20,50,false
2026-02-05,2026-02-05 08:35:00,2026-02-05 08:36:00,24808.0,24788.0,-20.0,LOSS,4.75,-32.0,20,20,5,5,20,50,false
2026-02-13,2026-02-13 08:31:00,2026-02-13 08:32:00,24738.5,24738.5,0.0,BE,56.5,-23.75,20,20,5,5,20,50,false
2026-02-17,2026-02-17 08:32:00,2026-02-17 08:33:00,24695.25,24675.25,-20.0,LOSS,17.75,-29.75,20,20,5,5,20,50,false
2026-02-20,2026-02-20 08:33:00,2026-02-20 08:34:00,24775.5,24795.5,20.0,WIN,39.0,0.0,20,20,5,5,20,50,false
2026-02-27,2026-02-27 08:34:00,2026-02-27 08:36:00,24875.75,24855.75,-20.0,LOSS,11.75,-24.75,20,20,5,5,20,50,false
2026-03-02,2026-03-02 08:34:00,2026-03-02 08:35:00,24782.75,24802.75,20.0,WIN,66.25,0.0,20,20,5,5,20,50,false
2026-03-03,2026-03-03 08:31:00,2026-03-03 08:32:00,24605.5,24585.5,-20.0,LOSS,2.25,-37.5,20,20,5,5,20,50,false
2026-03-06,2026-03-06 09:14:00,2026-03-06 09:17:00,24783.25,24763.25,-20.0,LOSS,16.5,-23.75,20,20,5,5,20,50,false
2026-03-09,2026-03-09 09:14:00,2026-03-09 09:15:00,24599.0,24619.0,20.0,WIN,22.5,0.0,20,20,5,5,20,50,false
2026-03-13,2026-03-13 09:11:00,2026-03-13 09:12:00,24522.0,24542.0,20.0,WIN,37.25,0.0,20,20,5,5,20,50,false
2026-03-19,2026-03-19 09:07:00,2026-03-19 09:08:00,24569.75,24549.75,-20.0,LOSS,0.0,-46.25,20,20,5,5,20,50,false
2026-03-24,2026-03-24 08:54:00,2026-03-24 08:55:00,24308.0,24288.0,-20.0,LOSS,3.25,-40.75,20,20,5,5,20,50,false
2026-04-02,2026-04-02 08:37:00,2026-04-02 08:38:00,24182.25,24182.25,0.0,BE,49.0,-35.0,20,20,5,5,20,50,false
2026-04-07,2026-04-07 10:34:00,2026-04-07 10:39:00,24198.5,24178.5,-20.0,LOSS,13.5,-23.25,20,20,5,5,20,50,false
2026-04-20,2026-04-20 08:39:00,2026-04-20 08:40:00,26732.0,26712.0,-20.0,LOSS,0.0,-21.0,20,20,5,5,20,50,false
2026-02-27,2026-02-27 08:59:00,2026-02-27 09:00:00,24877.0,24877.0,0.0,BE,27.0,-10.5,20,20,5,5,20,50,true
2026-02-02,2026-02-02 08:31:00,2026-02-02 08:32:00,25618.5,25638.5,20.0,WIN,50.25,0.0,20,20,5,5,20,60,false
2026-02-04,2026-02-04 09:10:00,2026-02-04 09:11:00,25234.0,25234.0,0.0,BE,26.5,-31.5,20,20,5,5,20,60,false
2026-02-05,2026-02-05 08:35:00,2026-02-05 08:36:00,24808.0,24788.0,-20.0,LOSS,4.75,-32.0,20,20,5,5,20,60,false
2026-02-13,2026-02-13 08:31:00,2026-02-13 08:32:00,24738.5,24738.5,0.0,BE,56.5,-23.75,20,20,5,5,20,60,false
2026-02-17,2026-02-17 08:32:00,2026-02-17 08:33:00,24695.25,24675.25,-20.0,LOSS,17.75,-29.75,20,20,5,5,20,60,false
2026-02-20,2026-02-20 08:33:00,2026-02-20 08:34:00,24775.5,24795.5,20.0,WIN,39.0,0.0,20,20,5,5,20,60,false
