direction,fib,trade_date,year,month,hour,orb_high,orb_low,orb_range,entry,stop,risk_points,mfe_points,mae_points,hit_1R,hit_1_5R,hit_2R,vwap,dist_vwap,ema_9,ema_20,atr_14,bull_fvg,bear_fvg,bull_displacement,bear_displacement,pdh,pdl,above_vwap,below_vwap,is_displacement_candle,body_pct,rel_vol_20,liquidity_sweeps_recent,recent_bull_fvg,recent_bear_fvg,bull_v_reversal_proxy,bear_v_reversal_proxy,r_1R,r_1_5R,r_2R,vwap_aligned,directional_displacement,directional_recent_fvg,directional_v_reversal,has_recent_liquidity_sweep,low_risk,ok_risk,normal_plus_volume,high_volume,fib_50,fib_618,core_morning,orb_score,grade,has_liq_sweep,risk_le_20,risk_le_15,rel_vol_ge_1_25,body_ge_60,body_lt_60
short,0.5,2018-01-10,2018,1,9,6669.0,6647.5,21.5,6658.25,6669.0,10.75,21.0,-7.0,true,true,false,6653.9671819776595,-0.217181977659493,6651.565852729002,6648.716287194235,4.053571428571429,false,false,false,false,6712.75,6667.25,false,true,false,0.09090909090909091,0.9933493703127211,3,true,true,true,true,1.0,1.5,-1.0,true,false,true,true,true,true,true,false,false,true,false,true,9,A+,true,true,true,false,false,true
short,0.382,2018-01-31,2018,1,9,6991.0,6975.5,15.5,6981.421,6991.0,9.578999999999724,36.42100000000028,-5.5789999999997235,true,true,true,6972.227523331154,6.772476668846139,6981.399489078442,6982.64735773948,4.339285714285714,false,false,false,false,7006.5,6902.75,true,false,false,0.42857142857142855,0.615904236825113,2,true,true,false,true,1.0,1.5,2.0,false,false,true,true,true,true,true,false,false,false,false,true,7,A,true,true,true,false,false,true
long,0.5,2018-02-22,2018,2,10,6820.5,6791.25,29.25,6805.875,6791.25,14.625,25.625,-17.875,true,true,false,6785.870358202024,26.129641797975637,6813.749907632276,6816.610506240505,4.589285714285714,false,false,false,false,6885.5,6741.25,true,false,false,0.8888888888888888,1.2352263773562033,0,true,true,true,true,1.0,1.5,-1.0,true,false,true,true,false,true,true,true,false,true,false,true,8,A+,false,true,true,false,true,false
long,0.5,2018-02-27,2018,2,9,7000.0,6983.0,17.0,6991.5,6983.0,8.5,6.75,-14.0,false,false,false,6990.845238931587,4.904761068412881,6997.508173221244,6998.087299097966,4.053571428571429,false,false,false,false,7007.5,6890.0,true,false,false,0.52,0.8773668561890355,4,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,false,false,true,false,true,9,A+,true,true,true,false,false,true
short,0.382,2018-03-02,2018,3,8,6704.25,6648.75,55.5,6669.951,6704.25,34.29899999999998,10.701000000000022,-40.79899999999998,false,false,false,6706.351589855746,-45.85158985574617,6664.891618507886,6669.81691694533,14.75,false,false,false,false,6898.75,6689.0,false,true,false,0.35714285714285715,0.5619369369369369,4,true,true,false,true,-1.0,-1.0,-1.0,true,false,true,true,true,false,false,false,false,false,false,true,7,A,true,false,false,false,false,true
long,0.382,2018-03-06,2018,3,9,6925.25,6902.0,23.25,6916.3685,6902.0,14.368499999999585,22.881500000000415,-15.618499999999585,true,true,false,6911.25265564122,9.747344358779628,6923.854746406694,6922.224017334437,5.946428571428571,false,false,false,false,6904.5,6742.5,true,false,false,0.4642857142857143,0.834200937011973,4,true,true,true,true,1.0,1.5,-1.0,true,false,true,true,true,true,true,false,false,false,false,true,8,A+,true,true,true,false,false,true
long,0.5,2018-03-08,2018,3,10,6971.0,6950.75,20.25,6960.875,6950.75,10.125,5.625,-10.375,false,false,false,6954.233338298506,8.766661701493831,6965.184351825101,6965.471151754902,3.017857142857143,false,false,false,false,6937.0,6798.25,true,false,false,0.1875,1.2445919516387127,2,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,true,false,true,false,true,9,A+,true,true,true,false,false,true
short,0.382,2018-03-14,2018,3,9,7094.25,7077.25,17.0,7083.744,7094.25,10.506000000000313,47.24399999999969,-0.5060000000003129,true,true,true,7089.274645506839,-6.274645506839079,7083.376829020321,7086.2074991646505,5.053571428571429,true,false,false,false,7214.5,7046.5,false,true,false,0.2857142857142857,0.5669512039750286,0,true,true,true,true,1.0,1.5,2.0,true,false,true,true,false,true,true,false,false,false,false,true,7,A,false,true,true,false,false,true
long,0.618,2018-03-21,2018,3,8,6906.25,6892.0,14.25,6897.4435,6892.0,5.443500000000313,32.30649999999969,-5.193500000000313,true,true,true,6898.683107735894,3.8168922641061727,6902.329634471949,6902.9555722588175,4.035714285714286,false,false,false,false,6927.75,6863.0,true,false,false,0.6,1.4659220713288488,1,true,true,true,true,1.0,1.5,2.0,true,false,true,true,true,true,true,true,true,false,true,true,10,A+,true,true,true,true,true,false
long,0.382,2018-03-22,2018,3,11,6800.0,6776.5,23.5,6791.023,6776.5,14.523000000000138,16.72699999999986,-15.523000000000138,true,false,false,6783.0431485193085,7.706851480691512,6788.677046392591,6780.204985625758,6.267857142857143,false,false,false,false,6951.0,6842.25,true,false,false,0.8928571428571429,0.8960659351190761,2,true,true,true,true,1.0,-1.0,-1.0,true,false,true,true,true,true,true,false,false,false,false,false,7,A,true,true,true,false,true,false
short,0.382,2018-03-26,2018,3,8,6641.5,6616.5,25.0,6626.05,6641.5,15.449999999999818,73.80000000000018,-16.199999999999818,true,true,true,6644.830539096823,-18.080539096822577,6622.868232347466,6628.194770294235,9.071428571428571,true,false,false,false,6559.25,6525.0,false,true,false,0.6363636363636364,0.7129909365558912,3,true,true,true,true,1.0,1.5,2.0,true,false,true,true,true,true,true,false,false,false,false,true,8,A+,true,true,false,false,true,false
long,0.382,2018-03-27,2018,3,8,6795.25,6759.25,36.0,6781.498,6759.25,22.247999999999593,3.0020000000004075,-25.247999999999593,false,false,false,6798.677299110996,-18.42729911099559,6782.986233075069,6779.7307147839065,7.589285714285714,false,false,false,false,6786.75,6535.75,false,true,false,0.4444444444444444,0.8259670461777809,3,true,true,true,true,-1.0,-1.0,-1.0,false,false,true,true,true,false,true,false,false,false,false,true,6,A,true,false,false,false,false,true
long,0.382,2018-04-05,2018,4,8,6612.0,6593.75,18.25,6605.0285,6593.75,11.27850000000035,38.22149999999965,-5.778500000000349,true,true,true,6616.087245116678,-10.587245116677877,6606.37522108581,6604.280534644872,7.035714285714286,false,false,false,false,6595.0,6306.75,false,true,false,0.65625,0.8195267652961218,3,true,true,true,true,1.0,1.5,2.0,false,false,true,true,true,true,true,false,false,false,false,true,7,A,true,true,true,false,true,false
short,0.382,2018-04-10,2018,4,9,6604.75,6585.25,19.5,6592.699,6604.75,12.051000000000386,2.1989999999996144,-16.301000000000386,false,false,false,6578.810793756768,13.439206243231638,6590.877910116854,6593.716467482125,5.982142857142857,true,false,false,false,6618.0,6460.0,true,false,false,0.5454545454545454,0.6632404652420881,1,true,true,true,true,-1.0,-1.0,-1.0,false,false,true,true,true,true,true,false,false,false,false,true,7,A,true,true,true,false,false,true
long,0.382,2018-04-11,2018,4,9,6643.75,6632.5,11.25,6639.4525,6632.5,6.952500000000327,23.797499999999673,-10.452500000000327,true,true,true,6604.844578227415,34.905421772585214,6640.667720092099,6635.521363433882,4.285714285714286,false,true,false,false,6651.75,6471.75,true,false,false,0.85,0.7176545570427023,2,true,true,true,true,1.0,1.5,2.0,true,false,true,true,true,true,true,false,false,false,false,true,8,A+,true,true,true,false,true,false
short,0.382,2018-04-12,2018,4,8,6683.75,6669.75,14.0,6675.098,6683.75,8.652000000000044,11.597999999999956,-8.652000000000044,true,false,false,6651.172170178787,23.827829821212617,6673.612575530193,6674.98158490993,5.75,false,false,false,false,6663.25,6550.75,true,false,false,0.0,0.8008134017623705,0,true,true,true,true,1.0,-1.0,-1.0,false,false,true,true,false,true,true,false,false,false,false,true,6,A,false,true,true,false,false,true
short,0.5,2018-04-12,2018,4,8,6683.75,6669.75,14.0,6676.75,6683.75,7.0,13.25,-7.0,true,true,false,6651.284166257367,24.71583374263264,6674.090060424154,6675.07857682327,5.660714285714286,false,false,false,false,6663.25,6550.75,true,false,false,0.3333333333333333,0.6881593216996944,0,true,true,true,true,1.0,1.5,-1.0,false,false,true,true,false,true,true,false,false,true,false,true,7,A,false,true,true,false,false,true
short,0.382,2018-04-13,2018,4,9,6655.75,6629.5,26.25,6639.5275,6655.75,16.222499999999854,2.2775000000001455,-18.222499999999854,false,false,false,6669.263133593777,-31.26313359377673,6636.399264408088,6641.490396470672,6.928571428571429,true,false,false,false,6693.75,6589.75,false,true,false,0.0,0.8186524338857899,3,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,false,false,false,false,true,8,A+,true,true,false,false,false,true
short,0.5,2018-04-13,2018,4,9,6655.75,6629.5,26.25,6642.625,6655.75,13.125,2.125,-15.125,false,false,false,6669.146839282986,-25.14683928298564,6637.919411526471,6641.729406330608,7.071428571428571,false,false,false,false,6693.75,6589.75,false,true,false,0.8518518518518519,0.7836556613667828,3,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,false,false,true,false,true,9,A+,true,true,true,false,true,false
long,0.382,2018-04-26,2018,4,9,6645.0,6626.25,18.75,6637.8375,6626.25,11.587499999999636,6.662500000000364,-11.587499999999636,false,false,false,6610.23016831268,28.51983168732022,6640.948767832078,6639.3888440060155,4.857142857142857,false,false,false,false,6604.0,6429.25,true,false,false,0.5714285714285714,1.026615969581749,1,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,true,false,false,false,true,8,A+,true,true,true,false,false,true
short,0.382,2018-04-26,2018,4,8,6645.0,6626.25,18.75,6633.4125,6645.0,11.587499999999636,10.912500000000364,-13.337499999999636,false,false,false,6606.722513060573,25.777486939427035,6632.598484978148,6633.221113520845,4.946428571428571,false,false,false,false,6604.0,6429.25,true,false,false,0.09090909090909091,0.6887686786995876,1,true,true,true,true,-1.0,-1.0,-1.0,false,false,true,true,true,true,true,false,false,false,false,true,7,A,true,true,true,false,false,true
short,0.382,2018-05-01,2018,5,9,6633.5,6614.25,19.25,6621.6035,6633.5,11.896499999999833,31.103500000000167,0.0,true,true,true,6608.487137025548,8.012862974452219,6615.569073889827,6613.2921991001385,4.625,false,false,false,false,6718.0,6595.5,true,false,false,0.45454545454545453,1.0912812639928358,3,true,true,true,true,1.0,1.5,2.0,false,false,true,true,true,true,true,true,false,false,false,true,7,A,true,true,true,false,false,true
short,0.382,2018-05-02,2018,5,8,6698.75,6679.0,19.75,6686.5445,6698.75,12.205500000000029,37.54449999999997,-11.455500000000029,true,true,true,6693.514155017927,-7.514155017926896,6686.692057326325,6689.819564472993,5.053571428571429,true,false,false,false,6740.0,6578.75,false,true,false,0.625,0.7581018518518519,2,true,true,true,true,1.0,1.5,2.0,true,false,true,true,true,true,true,false,false,false,false,true,8,A+,true,true,true,false,true,false
short,0.382,2018-05-16,2018,5,8,6936.25,6918.25,18.0,6925.126,6936.25,11.123999999999796,18.876000000000204,-12.873999999999796,true,true,false,6907.7238576850095,15.526142314990466,6925.163504801587,6926.554327115748,3.7142857142857144,false,false,false,false,6976.75,6854.25,true,false,false,0.09090909090909091,0.7060629316960859,1,true,true,true,true,1.0,1.5,-1.0,false,false,true,true,true,true,true,false,false,false,false,true,7,A,true,true,true,false,false,true
long,0.382,2018-05-24,2018,5,9,6922.75,6902.75,20.0,6915.11,6902.75,12.359999999999673,44.39000000000033,-0.3599999999996726,true,true,true,6928.8969241484965,-11.89692414849651,6917.617826765532,6916.173643508576,3.8035714285714284,false,false,false,false,6961.5,6829.75,false,true,false,0.10526315789473684,1.3285902095738924,1,true,true,true,true,1.0,1.5,2.0,false,false,true,true,true,true,true,true,true,false,false,true,8,A+,true,true,true,true,false,true
long,0.382,2018-05-25,2018,5,9,6987.75,6980.25,7.5,6984.885,6980.25,4.635000000000218,1.3649999999997817,-4.885000000000218,false,false,false,6970.595259192547,14.904740807452981,6984.379203275281,6982.022697488143,2.3214285714285716,false,false,false,false,6975.0,6885.25,true,false,false,0.4444444444444444,0.5593280914939243,3,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,false,false,false,false,true,8,A+,true,true,true,false,false,true
long,0.382,2018-05-29,2018,5,8,6962.25,6939.0,23.25,6953.3685,6939.0,14.368499999999585,14.381500000000415,-16.868499999999585,true,false,false,6941.783591960605,14.966408039394992,6956.660090045586,6954.517862979413,4.785714285714286,false,true,false,false,7023.5,6969.75,true,false,false,0.20833333333333334,1.0328446646575062,0,true,true,true,true,1.0,-1.0,-1.0,true,false,true,true,false,true,true,true,false,false,false,true,7,A,false,true,true,false,false,true
short,0.382,2018-06-07,2018,6,8,7166.0,7138.0,28.0,7148.696,7166.0,17.304000000000087,3.9459999999999127,-18.054000000000087,false,false,false,7187.939077901955,-39.93907790195499,7147.059909233688,7151.477859106425,5.482142857142857,false,false,false,false,7222.25,7142.25,false,true,false,0.45,0.6917530419107706,2,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,false,false,false,false,true,8,A+,true,true,false,false,false,true
long,0.382,2018-06-08,2018,6,8,7142.75,7101.25,41.5,7126.897,7101.25,25.646999999999935,50.853000000000065,-5.6469999999999345,true,true,false,7132.7372721891925,-7.237272189192481,7136.577782008842,7134.4431170897105,10.767857142857142,false,true,false,false,7249.5,7116.75,false,true,false,0.8571428571428571,0.7345395625168781,2,true,true,true,true,1.0,1.5,-1.0,false,false,true,true,true,false,false,false,false,false,false,true,6,A,true,false,false,false,true,false
long,0.5,2018-06-12,2018,6,9,7214.5,7203.75,10.75,7209.125,7203.75,5.375,28.625,0.0,true,true,true,7205.508741691416,6.4912583085842925,7215.134048274999,7215.499746900649,2.75,false,true,false,false,7214.75,7128.25,true,false,false,0.5333333333333333,1.5979916897506925,3,true,true,true,true,1.0,1.5,2.0,true,false,true,true,true,true,true,true,true,true,false,true,10,A+,true,true,true,true,false,true
long,0.382,2018-06-22,2018,6,8,7213.5,7198.25,15.25,7207.6745,7198.25,9.42450000000008,33.57549999999992,0.0,true,true,true,7232.227560488508,-24.22756048850806,7209.34727190119,7209.059232162755,6.214285714285714,false,false,false,false,7358.5,7222.0,false,true,false,0.71875,0.822957341781478,1,true,true,true,true,1.0,1.5,2.0,false,false,true,true,true,true,true,false,false,false,false,true,7,A,true,true,true,false,true,false
long,0.382,2018-06-28,2018,6,8,7011.0,6968.5,42.5,6994.765,6968.5,26.265000000000327,46.98499999999967,0.0,true,true,false,6997.867637698992,-0.11763769899243925,7000.564397180706,6997.029401753211,8.107142857142858,false,false,false,false,7151.5,6988.0,false,true,false,0.03773584905660377,1.1214953271028036,2,true,true,true,true,1.0,1.5,-1.0,false,false,true,true,true,false,false,true,false,false,false,true,6,A,true,false,false,false,false,true
long,0.382,2018-07-02,2018,7,9,7064.75,7049.25,15.5,7058.829,7049.25,9.578999999999724,10.421000000000276,-15.328999999999724,true,false,false,7029.676984409864,32.82301559013558,7056.2406651788015,7053.890153489101,4.517857142857143,false,false,false,false,7080.75,7045.0,true,false,false,0.0,1.0661710764415318,2,true,true,true,false,1.0,-1.0,-1.0,true,false,true,true,true,true,true,true,false,false,false,true,8,A+,true,true,true,false,false,true
long,0.5,2018-07-02,2018,7,9,7064.75,7049.25,15.5,7057.0,7049.25,7.75,12.25,-13.5,true,true,false,7029.676984409864,32.82301559013558,7056.2406651788015,7053.890153489101,4.517857142857143,false,false,false,false,7080.75,7045.0,true,false,false,0.0,1.0661710764415318,2,true,true,true,false,1.0,1.5,-1.0,true,false,true,true,true,true,true,true,false,true,false,true,9,A+,true,true,true,false,false,true
long,0.382,2018-07-09,2018,7,8,7254.0,7241.5,12.5,7249.225,7241.5,7.725000000000364,24.774999999999636,-1.9750000000003638,true,true,true,7260.1306788157235,-9.380678815723513,7250.561698404093,7249.867661154124,3.6785714285714284,false,false,false,false,7239.5,7232.25,false,true,false,0.5217391304347826,1.1864502629644291,1,true,true,true,true,1.0,1.5,2.0,false,false,true,true,true,true,true,true,false,false,false,true,7,A,true,true,true,false,false,true
long,0.5,2018-07-09,2018,7,8,7254.0,7241.5,12.5,7247.75,7241.5,6.25,26.25,-0.5,true,true,true,7259.975518917118,-11.97551891711828,7249.839486978619,7249.6365661601785,3.5,false,false,false,false,7239.5,7232.25,false,true,false,0.3333333333333333,1.5084867320105186,1,true,true,true,true,1.0,1.5,2.0,false,false,true,true,true,true,true,true,true,true,false,true,9,A+,true,true,true,true,false,true
long,0.382,2018-07-12,2018,7,9,7346.0,7338.75,7.25,7343.2305,7338.75,4.480499999999665,27.519500000000335,-4.230499999999665,true,true,true,7308.4706990453005,37.279300954699465,7344.037018708609,7341.695926007703,3.267857142857143,false,true,false,false,7290.0,7204.5,true,false,false,0.5384615384615384,0.6053231939163498,1,true,true,true,true,1.0,1.5,2.0,true,false,true,true,true,true,true,false,false,false,false,true,8,A+,true,true,true,false,false,true
long,0.382,2018-07-13,2018,7,9,7402.5,7393.5,9.0,7399.062,7393.5,5.561999999999898,4.188000000000102,-6.561999999999898,false,false,false,7392.018889251291,4.731110748709398,7401.448584978825,7401.45984301148,2.625,false,true,false,false,7388.0,7251.5,true,false,false,0.35714285714285715,5.197032151690025,1,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,true,true,false,false,true,9,A+,true,true,true,true,false,true
long,0.5,2018-07-13,2018,7,9,7402.5,7393.5,9.0,7398.0,7393.5,4.5,5.25,-5.5,true,false,false,7392.018889251291,4.731110748709398,7401.448584978825,7401.45984301148,2.625,false,true,false,false,7388.0,7251.5,true,false,false,0.35714285714285715,5.197032151690025,1,true,true,true,true,1.0,-1.0,-1.0,true,false,true,true,true,true,true,true,true,true,false,true,10,A+,true,true,true,true,false,true
long,0.618,2018-07-13,2018,7,9,7402.5,7393.5,9.0,7396.938,7393.5,3.438000000000102,6.311999999999898,-4.438000000000102,true,true,false,7392.018889251291,4.731110748709398,7401.448584978825,7401.45984301148,2.625,false,true,false,false,7388.0,7251.5,true,false,false,0.35714285714285715,5.197032151690025,1,true,true,true,true,1.0,1.5,-1.0,true,false,true,true,true,true,true,true,true,false,true,true,10,A+,true,true,true,true,false,true
short,0.382,2018-07-19,2018,7,10,7375.0,7361.75,13.25,7366.8115,7375.0,8.188500000000204,2.5614999999997963,-11.688500000000204,false,false,false,7381.53280183321,-14.532801833210215,7365.521471951739,7368.848246744798,3.4464285714285716,false,false,false,false,7437.75,7381.5,false,true,false,0.6363636363636364,0.5340667139815471,2,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,false,false,false,false,true,8,A+,true,true,true,false,true,false
long,0.382,2018-08-06,2018,8,9,7412.0,7401.5,10.5,7407.989,7401.5,6.488999999999578,3.261000000000422,-7.738999999999578,false,false,false,7405.80544180317,4.944558196830258,7409.51377039961,7408.346058711733,4.160714285714286,false,false,false,false,7415.75,7402.75,true,false,false,0.2631578947368421,1.317536341483909,2,true,true,true,false,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,true,true,false,false,true,9,A+,true,true,true,true,false,true
short,0.382,2018-08-06,2018,8,8,7412.0,7401.5,10.5,7405.511,7412.0,6.488999999999578,1.761000000000422,-7.988999999999578,false,false,false,7405.61955845226,0.6304415477397924,7406.153361688484,7406.482701560438,4.25,false,false,false,false,7415.75,7402.75,true,false,false,0.47619047619047616,1.6023198011599005,2,true,true,true,true,-1.0,-1.0,-1.0,false,false,true,true,true,true,true,true,true,false,false,true,8,A+,true,true,true,true,false,true
short,0.5,2018-08-06,2018,8,8,7412.0,7401.5,10.5,7406.75,7412.0,5.25,3.0,-6.75,false,false,false,7405.61955845226,0.6304415477397924,7406.153361688484,7406.482701560438,4.25,false,false,false,false,7415.75,7402.75,true,false,false,0.47619047619047616,1.6023198011599005,2,true,true,true,true,-1.0,-1.0,-1.0,false,false,true,true,true,true,true,true,true,true,false,true,9,A+,true,true,true,true,false,true
short,0.618,2018-08-06,2018,8,8,7412.0,7401.5,10.5,7407.989,7412.0,4.011000000000422,4.238999999999578,-5.511000000000422,true,false,false,7405.61955845226,0.6304415477397924,7406.153361688484,7406.482701560438,4.25,false,false,false,false,7415.75,7402.75,true,false,false,0.47619047619047616,1.6023198011599005,2,true,true,true,true,1.0,-1.0,-1.0,false,false,true,true,true,true,true,true,true,false,true,true,9,A+,true,true,true,true,false,true
short,0.382,2018-08-10,2018,8,8,7445.0,7422.5,22.5,7431.095,7445.0,13.904999999999745,6.595000000000255,-11.904999999999745,false,false,false,7433.0900732484915,-6.840073248491535,7426.518264681284,7427.53246596399,4.696428571428571,false,false,false,false,7505.5,7458.75,false,true,false,0.3333333333333333,0.5733274257864421,2,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,false,false,false,false,true,8,A+,true,true,true,false,false,true
short,0.618,2018-08-10,2018,8,9,7445.0,7422.5,22.5,7436.405,7445.0,8.595000000000255,11.904999999999745,-6.595000000000255,true,false,false,7433.038388691273,-0.7883886912732123,7430.580831981289,7429.418165103794,4.232142857142857,false,false,false,false,7505.5,7458.75,false,true,false,0.7222222222222222,1.074860745546918,2,true,true,true,true,1.0,-1.0,-1.0,true,false,true,true,true,true,true,true,false,false,true,true,9,A+,true,true,true,false,true,false
long,0.382,2018-08-15,2018,8,9,7349.5,7316.5,33.0,7336.894,7316.5,20.394000000000233,27.855999999999767,-13.894000000000233,true,false,false,7372.160514128116,-35.16051412811612,7340.868618292872,7338.68942517378,7.482142857142857,false,true,false,false,7483.5,7397.0,false,true,false,0.3125,0.737102199994046,1,true,true,true,true,1.0,-1.0,-1.0,false,false,true,true,true,false,true,false,false,false,false,true,6,A,true,false,false,false,false,true
long,0.5,2018-08-15,2018,8,9,7349.5,7316.5,33.0,7333.0,7316.5,16.5,31.75,-10.0,true,true,false,7371.945678833476,-37.94567883347645,7339.494894634297,7338.242813252468,7.410714285714286,false,false,false,false,7483.5,7397.0,false,true,false,0.5454545454545454,0.9644820046096567,1,true,true,true,true,1.0,1.5,-1.0,false,false,true,true,true,true,true,false,false,true,false,true,8,A+,true,true,false,false,false,true
long,0.382,2018-08-17,2018,8,8,7339.25,7326.25,13.0,7334.284,7326.25,8.03399999999965,42.46600000000035,-4.033999999999651,true,true,true,7357.132914944055,-22.3829149440553,7335.122762442021,7334.275317176391,3.75,false,true,false,false,7434.5,7363.25,false,true,false,0.0,0.6822831423895254,0,true,true,true,true,1.0,1.5,2.0,false,false,true,true,false,true,true,false,false,false,false,true,6,A,false,true,true,false,false,true
long,0.5,2018-08-17,2018,8,8,7339.25,7326.25,13.0,7332.75,7326.25,6.5,44.0,-2.5,true,true,true,7357.132914944055,-22.3829149440553,7335.122762442021,7334.275317176391,3.75,false,true,false,false,7434.5,7363.25,false,true,false,0.0,0.6822831423895254,0,true,true,true,true,1.0,1.5,2.0,false,false,true,true,false,true,true,false,false,true,false,true,7,A,false,true,true,false,false,true
short,0.382,2018-08-17,2018,8,8,7339.25,7326.25,13.0,7331.216,7339.25,8.03399999999965,2.4660000000003492,-8.28399999999965,false,false,false,7358.288899788711,-23.788899788711205,7331.1022439749595,7332.2364341018965,3.9642857142857144,false,false,false,false,7434.5,7363.25,false,true,false,0.92,1.3243158225857188,0,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,false,true,true,true,true,false,false,true,8,A+,false,true,true,true,true,false
short,0.5,2018-08-17,2018,8,8,7339.25,7326.25,13.0,7332.75,7339.25,6.5,4.0,-6.75,false,false,false,7358.288899788711,-23.788899788711205,7331.1022439749595,7332.2364341018965,3.9642857142857144,false,false,false,false,7434.5,7363.25,false,true,false,0.92,1.3243158225857188,0,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,false,true,true,true,true,true,false,true,9,A+,false,true,true,true,true,false
short,0.618,2018-08-17,2018,8,8,7339.25,7326.25,13.0,7334.284,7339.25,4.966000000000349,5.533999999999651,-5.216000000000349,true,false,false,7358.288899788711,-23.788899788711205,7331.1022439749595,7332.2364341018965,3.9642857142857144,false,false,false,false,7434.5,7363.25,false,true,false,0.92,1.3243158225857188,0,true,true,true,true,1.0,-1.0,-1.0,true,false,true,true,false,true,true,true,true,false,true,true,9,A+,false,true,true,true,true,false
short,0.5,2018-08-27,2018,8,9,7563.75,7551.75,12.0,7557.75,7563.75,6.0,1.5,-6.25,false,false,false,7543.374523872021,13.6254761279788,7556.367672974293,7557.727725656961,2.6607142857142856,false,false,false,false,7517.5,7498.75,true,false,false,0.42857142857142855,0.5166707031565351,1,true,true,true,true,-1.0,-1.0,-1.0,false,false,true,true,true,true,true,false,false,true,false,true,8,A+,true,true,true,false,false,true
long,0.382,2018-08-28,2018,8,9,7585.0,7573.75,11.25,7580.7025,7573.75,6.952500000000327,3.2974999999996726,-9.202500000000327,false,false,false,7582.908618644611,-1.1586186446111242,7582.01523563509,7581.051436510729,2.267857142857143,false,false,false,false,7581.0,7512.75,false,true,false,0.09090909090909091,0.7113285660519383,1,true,true,true,true,-1.0,-1.0,-1.0,false,false,true,true,true,true,true,false,false,false,false,true,7,A,true,true,true,false,false,true
short,0.382,2018-08-28,2018,8,8,7585.0,7573.75,11.25,7578.0475,7585.0,6.952500000000327,3.0474999999996726,-8.202500000000327,false,false,false,7583.277260979114,-6.027260979113635,7575.530648821716,7576.7467084452865,3.2142857142857144,false,false,false,false,7581.0,7512.75,false,true,false,0.35714285714285715,0.9376031693628261,4,true,true,true,true,-1.0,-1.0,-1.0,true,false,true,true,true,true,true,false,false,false,false,true,8,A+,true,true,true,false,false,true
short,0.382,2018-08-31,2018,8,8,7678.0,7668.75,9.25,7672.2835,7678.0,5.716500000000451,2.533499999999549,-7.466500000000451,false,false,false,7660.365030463536,12.134969536464268,7672.409014502524,7673.033112696094,3.0714285714285716,false,false,false,false,7697.0,7626.25,true,false,false,0.7142857142857143,0.9303992545337253,0,true,true,true,true,-1.0,-1.0,-1.0,false,false,true,true,false,true,true,false,false,false,false,true,6,A,false,true,true,false,true,false
short,0.5,2018-08-31,2018,8,8,7678.0,7668.75,9.25,7673.375,7678.0,4.625,3.625,-6.375,false,false,false,7660.365030463536,12.134969536464268,7672.409014502524,7673.033112696094,3.0714285714285716,false,false,false,false,7697.0,7626.25,true,false,false,0.7142857142857143,0.9303992545337253,0,true,true,true,true,-1.0,-1.0,-1.0,false,false,true,true,false,true,true,false,false,true,false,true,7,A,false,true,true,false,true,false
long,0.382,2018-09-03,2018,9,9,7678.5,7673.25,5.25,7676.4945,7673.25,3.244499999999789,10.505500000000211,-1.494499999999789,true,true,true,7671.546720458095,4.453279541905431,7677.588461352476,7677.7296196373845,0.8035714285714286,false,false,false,false,7675.0,7664.5,true,false,false,0.5454545454545454,4.018691588785047,1,true,true,true,true,1.0,1.5,2.0,true,false,true,true,true,true,true,true,true,false,false,true,9,A+,true,true,true,true,false,true
long,0.5,2018-09-03,2018,9,9,7678.5,7673.25,5.25,7675.875,7673.25,2.625,11.125,-0.875,true,true,true,7671.546720458095,4.453279541905431,7677.588461352476,7677.7296196373845,0.8035714285714286,false,false,false,false,7675.0,7664.5,true,false,false,0.5454545454545454,4.018691588785047,1,true,true,true,true,1.0,1.5,2.0,true,false,true,true,true,true,true,true,true,true,false,true,10,A+,true,true,true,true,false,true
long,0.618,2018-09-03,2018,9,9,7678.5,7673.25,5.25,7675.2555,7673.25,2.005500000000211,11.744499999999789,-0.255500000000211,true,true,true,7671.546720458095,4.453279541905431,7677.588461352476,7677.7296196373845,0.8035714285714286,false,false,false,false,7675.0,7664.5,true,false,false,0.5454545454545454,4.018691588785047,1,true,true,true,true,1.0,1.5,2.0,true,false,true,true,true,true,true,true,true,false,true,true,10,A+,true,true,true,true,false,true
